date,ingredient,unit,shelf_life_days,supplier_lead_time_days,pack_price_rs,opening_stock,consumption_mean_7d,consumption_std_7d,consumption_mean_14d,consumption_mean_28d,consumption_trend,volatility_ratio,coverage_days,days_since_purchase,incoming_qty_7d,day_of_week,month,festival_effect,is_monsoon,stockout_today,days_to_stockout,risk_class
2025-03-03,Ice,kg,2,1,60,0.0,9.0753,8.3238,7.6774,7.3888,1.2283,0.9172,0.0,2,95.0,0,3,none,0,1,3,URGENT
2025-03-03,Lime,kg,10,1,140,8.9257,1.8291,0.5082,1.7581,1.5704,1.1647,0.2778,4.8799,5,0.0,0,3,none,0,0,23,SAFE
2025-03-03,Masala Mix,kg,180,4,900,0.0,0.1635,0.1045,0.1945,0.1955,0.836,0.6394,0.0,23,4.0,0,3,none,0,1,1,URGENT
2025-03-03,Milk,L,4,1,95,361.028,55.706,38.159,63.6161,47.3897,1.1755,0.685,6.481,2,0.0,0,3,none,0,0,2,URGENT
2025-03-03,Momo Wrapper,pcs,5,2,180,5595.9668,1165.5351,547.5361,1261.0697,1013.6977,1.1498,0.4698,4.8012,4,7400.0,0,3,none,0,0,1,URGENT
2025-03-03,Noodles,kg,120,3,150,20.1529,8.7469,1.6038,7.598,7.8337,1.1166,0.1834,2.304,6,74.0,0,3,none,0,0,2,URGENT
2025-03-03,Onion,kg,21,2,90,67.4106,8.3144,1.3532,8.2252,8.2685,1.0056,0.1628,8.1077,1,0.0,0,3,none,0,0,7,WATCH
2025-03-03,Potato,kg,30,2,70,143.5191,6.6872,4.7669,8.2791,8.7067,0.7681,0.7128,21.4619,1,0.0,0,3,none,0,0,13,SAFE
2025-03-03,Soda Water,L,180,3,70,84.7057,11.4748,3.1727,11.0504,10.525,1.0902,0.2765,7.3819,0,0.0,0,3,none,0,0,13,SAFE
2025-03-03,Sugar,kg,365,3,110,58.0,5.4901,2.289,5.9161,5.8555,0.9376,0.4169,10.5644,0,0.0,0,3,none,0,0,116,SAFE
2025-03-03,Tea Leaves,kg,365,3,650,8.0172,1.7104,0.3206,1.5394,1.4319,1.1945,0.1874,4.6873,3,11.0,0,3,none,0,0,27,SAFE
2025-03-03,Wheat Flour,kg,90,3,85,12.0,1.3701,0.4427,1.3437,1.4107,0.9712,0.3231,8.7583,0,0.0,0,3,none,0,0,8,SAFE
2025-03-03,Yoghurt,kg,6,1,160,106.9283,7.4051,1.4253,7.5081,6.5977,1.1224,0.1925,14.4398,2,0.0,0,3,none,0,0,4,WATCH
2025-03-04,Bread Loaf,pcs,3,1,75,59.0,6.8893,1.9555,6.9999,5.6443,1.2206,0.2839,8.564,0,0.0,1,3,none,0,0,3,URGENT
2025-03-04,Buff Mince,kg,3,1,480,53.0,7.1293,1.6153,5.0853,4.3033,1.6567,0.2266,7.4341,0,0.0,1,3,none,0,0,3,URGENT
2025-03-04,Burger Bun,pcs,4,1,30,0.0,14.2467,13.9335,17.0904,17.8251,0.7992,0.978,0.0,6,143.0,1,3,none,0,1,1,URGENT
2025-03-04,Butter,kg,60,3,780,2.6467,0.1898,0.1308,0.2738,0.3117,0.6092,0.6887,13.9412,1,4.0,1,3,none,0,0,25,SAFE
2025-03-04,Cabbage,kg,8,1,60,91.0,8.8366,4.0042,9.4294,9.4431,0.9358,0.4531,10.298,0,0.0,1,3,none,0,0,20,SAFE
2025-03-04,Cardamom,kg,240,6,3200,0.6235,0.0575,0.0147,0.0568,0.0541,1.0633,0.2562,10.8464,22,0.0,1,3,none,0,0,11,SAFE
2025-03-04,Cheese Slice,pcs,30,3,22,54.4183,52.7147,14.2642,54.4553,54.577,0.9659,0.2706,1.0323,7,507.0,1,3,none,0,0,1,URGENT
2025-03-04,Chicken Breast,kg,3,1,420,55.0,0.8808,2.1574,3.6206,3.2859,0.268,2.4495,62.4459,0,0.0,1,3,none,0,0,3,URGENT
2025-03-04,Chocolate Cake,pcs,4,2,900,8.4629,2.1667,0.9999,1.6823,1.5671,1.3826,0.4615,3.9058,2,0.0,1,3,none,0,0,2,URGENT
2025-03-04,Cocoa Powder,kg,240,5,1200,9.2944,0.6377,0.321,0.6253,0.5746,1.1099,0.5034,14.5737,2,0.0,1,3,none,0,0,14,SAFE
2025-03-04,Coffee Beans,kg,120,5,1800,62.3309,1.5774,1.5769,2.8279,3.3238,0.4746,0.9997,39.5147,2,25.0,1,3,none,0,0,20,SAFE
2025-03-04,Cooking Oil,L,180,3,210,35.391,3.6401,1.5696,4.0236,4.2091,0.8648,0.4312,9.7226,1,0.0,1,3,none,0,0,7,WATCH
2025-03-04,Croissant (frozen),pcs,45,4,55,269.735,7.2523,7.1522,9.9404,11.4964,0.6308,0.9862,37.1931,0,0.0,1,3,none,0,0,35,SAFE
2025-03-04,Eggs,pcs,21,2,18,111.6775,27.6221,7.8974,28.1457,28.3389,0.9747,0.2859,4.0431,5,187.0,1,3,none,0,0,36,SAFE
2025-03-04,Ginger,kg,14,1,180,4.9029,0.3428,0.0845,0.3376,0.311,1.1021,0.2467,14.3037,6,0.0,1,3,none,0,0,8,SAFE
2025-03-04,Ice,kg,2,1,60,95.0,10.8329,7.4779,7.6517,7.8282,1.3838,0.6903,8.7696,0,0.0,1,3,none,0,0,2,URGENT
2025-03-04,Lime,kg,10,1,140,7.4096,1.7575,0.5471,1.7544,1.5585,1.1277,0.3113,4.2159,6,0.0,1,3,none,0,0,22,SAFE
2025-03-04,Masala Mix,kg,180,4,900,0.0,0.1292,0.1128,0.1766,0.1903,0.6787,0.8734,0.0,24,4.0,1,3,none,0,1,1,URGENT
2025-03-04,Milk,L,4,1,95,294.3931,54.9385,37.8781,63.0759,47.6847,1.1521,0.6895,5.3586,3,0.0,1,3,none,0,0,1,URGENT
2025-03-04,Momo Wrapper,pcs,5,2,180,0.0,962.8173,666.0248,1165.9454,970.9718,0.9916,0.6917,0.0,5,7400.0,1,3,none,0,1,9,SAFE
2025-03-04,Noodles,kg,120,3,150,13.7717,8.5877,1.6863,7.6533,7.8566,1.093,0.1964,1.6037,7,74.0,1,3,none,0,0,1,URGENT
2025-03-04,Onion,kg,21,2,90,59.8182,8.1274,1.3925,8.1908,8.2808,0.9815,0.1713,7.3601,2,0.0,1,3,none,0,0,6,WATCH
2025-03-04,Potato,kg,30,2,70,136.9362,6.6982,4.7752,8.3407,8.8165,0.7597,0.7129,20.4438,2,0.0,1,3,none,0,0,12,SAFE
2025-03-04,Soda Water,L,180,3,70,74.9983,11.0418,3.4025,11.0186,10.4531,1.0563,0.3081,6.7922,1,0.0,1,3,none,0,0,12,SAFE
2025-03-04,Sugar,kg,365,3,110,52.3467,5.3808,2.2562,5.8679,5.8839,0.9145,0.4193,9.7285,1,0.0,1,3,none,0,0,115,SAFE
2025-03-04,Tea Leaves,kg,365,3,650,6.4487,1.6884,0.3265,1.649,1.4464,1.1673,0.1934,3.8194,4,11.0,1,3,none,0,0,26,SAFE
2025-03-04,Wheat Flour,kg,90,3,85,10.9442,1.3089,0.4204,1.3536,1.4081,0.9295,0.3212,8.3617,1,0.0,1,3,none,0,0,7,WATCH
2025-03-04,Yoghurt,kg,6,1,160,101.8052,7.0789,1.3905,7.5137,6.5827,1.0754,0.1964,14.3815,3,0.0,1,3,none,0,0,3,URGENT
2025-03-05,Bread Loaf,pcs,3,1,75,54.4883,6.9697,1.9296,7.0688,5.8794,1.1854,0.2769,7.8179,1,0.0,2,3,none,0,0,2,URGENT
2025-03-05,Buff Mince,kg,3,1,480,46.1902,6.9678,1.5731,5.5781,4.5497,1.5315,0.2258,6.6291,1,0.0,2,3,none,0,0,2,URGENT
2025-03-05,Burger Bun,pcs,4,1,30,0.0,11.6854,14.6506,14.8665,16.7564,0.6974,1.2538,0.0,7,143.0,2,3,none,0,1,1,URGENT
2025-03-05,Butter,kg,60,3,780,2.4142,0.1933,0.1339,0.2773,0.3107,0.6221,0.6929,12.4909,2,4.0,2,3,none,0,0,24,SAFE
2025-03-05,Cabbage,kg,8,1,60,82.44,8.609,3.8626,9.4728,9.4871,0.9074,0.4487,9.5761,1,0.0,2,3,none,0,0,19,SAFE
2025-03-05,Cardamom,kg,240,6,3200,0.5737,0.0555,0.0152,0.0558,0.0543,1.0222,0.2732,10.3347,23,0.0,2,3,none,0,0,10,SAFE
2025-03-05,Cheese Slice,pcs,30,3,22,12.5839,48.3209,20.0419,51.5275,52.9224,0.9131,0.4148,0.2604,8,507.0,2,3,none,0,1,9,SAFE
2025-03-05,Chicken Breast,kg,3,1,420,48.8347,2.0696,3.3226,4.215,3.5831,0.5776,1.6055,23.5966,1,0.0,2,3,none,0,0,2,URGENT
2025-03-05,Chocolate Cake,pcs,4,2,900,6.6133,2.514,0.4674,1.8559,1.5958,1.5755,0.1859,2.6306,3,0.0,2,3,none,0,0,1,URGENT
2025-03-05,Cocoa Powder,kg,240,5,1200,8.5358,0.7367,0.1887,0.6257,0.5762,1.2785,0.2561,11.587,3,0.0,2,3,none,0,0,13,SAFE
2025-03-05,Coffee Beans,kg,120,5,1800,83.9325,2.0027,1.749,2.8078,3.465,0.578,0.8733,41.909,0,0.0,2,3,none,0,0,19,SAFE
2025-03-05,Cooking Oil,L,180,3,210,31.2899,3.6069,1.5526,4.0445,4.2165,0.8554,0.4305,8.6751,2,0.0,2,3,none,0,0,6,WATCH
2025-03-05,Croissant (frozen),pcs,45,4,55,260.234,9.0386,6.6625,9.9841,11.46,0.7887,0.7371,28.7915,1,0.0,2,3,none,0,0,34,SAFE
2025-03-05,Eggs,pcs,21,2,18,280.6381,27.9027,7.8324,28.4432,28.2698,0.987,0.2807,10.0577,0,0.0,2,3,none,0,0,35,SAFE
2025-03-05,Ginger,kg,14,1,180,4.6006,0.3331,0.0868,0.3322,0.3126,1.0653,0.2607,13.8131,7,0.0,2,3,none,0,0,7,WATCH
2025-03-05,Ice,kg,2,1,60,82.6971,10.3947,7.2165,8.6134,7.7705,1.3377,0.6942,7.9557,1,0.0,2,3,none,0,0,1,URGENT
2025-03-05,Lime,kg,10,1,140,6.1539,1.7321,0.5566,1.7087,1.5497,1.1177,0.3213,3.5528,7,0.0,2,3,none,0,0,21,SAFE
2025-03-05,Masala Mix,kg,180,4,900,0.0,0.0945,0.1099,0.1596,0.1848,0.5117,1.1626,0.0,25,4.0,2,3,none,0,1,1,URGENT
2025-03-05,Milk,L,4,1,95,0.0,42.7369,39.8044,57.8268,45.5164,0.9389,0.9314,0.0,4,0.0,2,3,none,0,1,1,URGENT
2025-03-05,Momo Wrapper,pcs,5,2,180,7400.0,1156.4353,543.7639,1167.9315,973.6255,1.1878,0.4702,6.399,0,0.0,2,3,none,0,0,8,SAFE
2025-03-05,Noodles,kg,120,3,150,6.514,8.2015,1.8034,7.538,7.8003,1.0514,0.2199,0.7942,8,74.0,2,3,none,0,1,9,SAFE
2025-03-05,Onion,kg,21,2,90,52.5401,7.9841,1.2878,8.2238,8.3039,0.9615,0.1613,6.5806,3,0.0,2,3,none,0,0,5,WATCH
2025-03-05,Potato,kg,30,2,70,126.6257,6.7328,4.7891,8.391,9.0761,0.7418,0.7113,18.8073,3,0.0,2,3,none,0,0,11,SAFE
2025-03-05,Soda Water,L,180,3,70,67.0002,10.8638,3.4701,10.7319,10.4097,1.0436,0.3194,6.1673,2,0.0,2,3,none,0,0,11,SAFE
2025-03-05,Sugar,kg,365,3,110,46.6118,5.1487,2.1332,5.7976,5.8855,0.8748,0.4143,9.0531,2,0.0,2,3,none,0,0,114,SAFE
2025-03-05,Tea Leaves,kg,365,3,650,4.9138,1.6252,0.334,1.6296,1.4503,1.1206,0.2055,3.0235,5,11.0,2,3,none,0,0,25,SAFE
2025-03-05,Wheat Flour,kg,90,3,85,9.6626,1.2693,0.4207,1.3567,1.3966,0.9088,0.3314,7.6127,2,0.0,2,3,none,0,0,6,WATCH
2025-03-05,Yoghurt,kg,6,1,160,95.5548,6.7983,1.3964,7.4282,6.5329,1.0406,0.2054,14.0557,4,0.0,2,3,none,0,0,2,URGENT
2025-03-06,Bread Loaf,pcs,3,1,75,47.9048,7.4771,1.9154,7.1459,6.1989,1.2062,0.2562,6.4069,2,0.0,3,3,none,0,0,1,URGENT
2025-03-06,Buff Mince,kg,3,1,480,39.2906,7.2408,1.3765,5.5963,4.7996,1.5086,0.1901,5.4263,2,0.0,3,3,none,0,0,1,URGENT
2025-03-06,Burger Bun,pcs,4,1,30,0.0,8.6845,14.5853,12.2439,16.7564,0.5183,1.6795,0.0,8,230.0,3,3,none,0,1,5,WATCH
2025-03-06,Butter,kg,60,3,780,6.0881,0.2135,0.1531,0.2787,0.3128,0.6828,0.717,28.5102,0,0.0,3,3,none,0,0,23,SAFE
2025-03-06,Cabbage,kg,8,1,60,72.0673,9.0976,4.0244,9.6117,9.4175,0.966,0.4424,7.9216,2,0.0,3,3,none,0,0,18,SAFE
2025-03-06,Cardamom,kg,240,6,3200,0.5274,0.0556,0.0152,0.0557,0.0546,1.017,0.273,9.4922,24,0.0,3,3,none,0,0,9,SAFE
2025-03-06,Cheese Slice,pcs,30,3,22,507.0,52.2848,21.1864,51.6054,53.1743,0.9833,0.4052,9.6969,0,0.0,3,3,none,0,0,8,SAFE
2025-03-06,Chicken Breast,kg,3,1,420,40.5131,3.3684,3.9731,4.2674,3.9078,0.862,1.1795,12.0275,2,0.0,3,3,none,0,0,1,URGENT
2025-03-06,Chocolate Cake,pcs,4,2,900,0.0,2.0991,0.963,1.8559,1.48,1.4183,0.4588,0.0,4,21.0,3,3,none,0,1,1,URGENT
2025-03-06,Cocoa Powder,kg,240,5,1200,7.8433,0.7135,0.193,0.6205,0.5727,1.2457,0.2706,10.9933,4,0.0,3,3,none,0,0,12,SAFE
2025-03-06,Coffee Beans,kg,120,5,1800,79.9809,2.64,1.7156,2.8582,3.4617,0.7626,0.6499,30.2952,1,0.0,3,3,none,0,0,18,SAFE
2025-03-06,Cooking Oil,L,180,3,210,26.9835,3.7837,1.6165,4.0812,4.2019,0.9005,0.4272,7.1316,3,0.0,3,3,none,0,0,5,WATCH
2025-03-06,Croissant (frozen),pcs,45,4,55,247.73,10.6908,5.5588,9.6479,11.3792,0.9395,0.52,23.1722,2,0.0,3,3,none,0,0,33,SAFE
2025-03-06,Eggs,pcs,21,2,18,253.7128,30.0077,7.622,28.6603,28.4985,1.053,0.254,8.4549,1,0.0,3,3,none,0,0,34,SAFE
2025-03-06,Ginger,kg,14,1,180,4.3168,0.333,0.0868,0.3321,0.314,1.0605,0.2607,12.9631,8,0.0,3,3,none,0,0,6,WATCH
2025-03-06,Ice,kg,2,1,60,0.0,8.1537,7.6479,8.6134,7.2472,1.1251,0.938,0.0,2,85.0,3,3,none,0,1,3,URGENT
2025-03-06,Lime,kg,10,1,140,4.7045,1.7838,0.5821,1.7815,1.575,1.1326,0.3263,2.6374,8,16.0,3,3,none,0,0,20,SAFE
2025-03-06,Masala Mix,kg,180,4,900,0.0,0.0617,0.0984,0.1434,0.1777,0.3474,1.5931,0.0,26,5.0,3,3,none,0,1,44,SAFE
2025-03-06,Milk,L,4,1,95,0.0,42.7369,39.8044,53.0599,45.5164,0.9389,0.9314,0.0,5,428.0,3,3,none,0,1,5,WATCH
2025-03-06,Momo Wrapper,pcs,5,2,180,6044.6741,1213.3087,553.0904,1179.798,963.1284,1.2598,0.4559,4.982,1,7600.0,3,3,none,0,0,7,WATCH
2025-03-06,Noodles,kg,120,3,150,74.0,8.6622,1.8886,7.6779,7.7643,1.1156,0.218,8.5429,0,0.0,3,3,none,0,0,8,SAFE
2025-03-06,Onion,kg,21,2,90,44.0066,8.401,1.256,8.3068,8.2617,1.0169,0.1495,5.2383,4,0.0,3,3,none,0,0,4,WATCH
2025-03-06,Potato,kg,30,2,70,117.8705,8.1501,3.9879,8.4635,9.0308,0.9025,0.4893,14.4625,4,0.0,3,3,none,0,0,10,SAFE
2025-03-06,Soda Water,L,180,3,70,57.9752,11.2578,3.6687,11.2215,10.5734,1.0647,0.3259,5.1498,3,69.0,3,3,none,0,0,10,SAFE
2025-03-06,Sugar,kg,365,3,110,40.9966,5.1118,2.1093,5.84,5.914,0.8644,0.4126,8.0199,3,0.0,3,3,none,0,0,113,SAFE
2025-03-06,Tea Leaves,kg,365,3,650,14.5172,1.6242,0.334,1.6335,1.4596,1.1128,0.2056,8.938,0,0.0,3,3,none,0,0,24,SAFE
2025-03-06,Wheat Flour,kg,90,3,85,8.5144,1.3396,0.4526,1.3799,1.4062,0.9527,0.3378,6.3559,3,0.0,3,3,none,0,0,5,WATCH
2025-03-06,Yoghurt,kg,6,1,160,89.6275,6.9993,1.5793,7.547,6.5815,1.0635,0.2256,12.8051,5,0.0,3,3,none,0,0,1,URGENT
2025-03-07,Bread Loaf,pcs,3,1,75,0.0,6.5536,3.2644,6.5635,6.1989,1.0572,0.4981,0.0,3,0.0,4,3,none,0,1,1,URGENT
2025-03-07,Buff Mince,kg,3,1,480,0.0,6.1468,2.857,5.094,4.7996,1.2807,0.4648,0.0,3,0.0,4,3,none,0,1,1,URGENT
2025-03-07,Burger Bun,pcs,4,1,30,230.0,11.0481,17.4757,13.5871,18.1044,0.6102,1.5818,20.818,0,0.0,4,3,none,0,0,4,WATCH
2025-03-07,Butter,kg,60,3,780,5.6779,0.2619,0.1831,0.2874,0.3212,0.8154,0.6991,21.6796,1,0.0,4,3,none,0,0,22,SAFE
2025-03-07,Cabbage,kg,8,1,60,60.1974,9.4913,4.2963,9.9204,9.5771,0.991,0.4527,6.3423,3,0.0,4,3,none,0,0,17,SAFE
2025-03-07,Cardamom,kg,240,6,3200,0.4701,0.0576,0.015,0.0559,0.055,1.0472,0.2595,8.1558,25,0.0,4,3,none,0,0,8,SAFE
2025-03-07,Cheese Slice,pcs,30,3,22,436.8713,56.9409,22.8572,53.5774,54.0774,1.053,0.4014,7.6724,1,0.0,4,3,none,0,0,7,WATCH
2025-03-07,Chicken Breast,kg,3,1,420,0.0,3.3684,3.9731,3.8298,3.9078,0.862,1.1795,0.0,3,0.0,4,3,none,0,1,1,URGENT
2025-03-07,Chocolate Cake,pcs,4,2,900,0.0,1.7353,1.1815,1.7006,1.48,1.1725,0.6809,0.0,5,21.0,4,3,none,0,1,5,WATCH
2025-03-07,Cocoa Powder,kg,240,5,1200,7.2352,0.7294,0.1883,0.6072,0.5888,1.2389,0.2581,9.919,5,0.0,4,3,none,0,0,11,SAFE
2025-03-07,Coffee Beans,kg,120,5,1800,75.5197,3.3964,1.5435,2.9473,3.4781,0.9765,0.4544,22.2349,2,0.0,4,3,none,0,0,17,SAFE
2025-03-07,Cooking Oil,L,180,3,210,22.0971,3.9634,1.7391,4.173,4.2412,0.9345,0.4388,5.5753,4,0.0,4,3,none,0,0,4,WATCH
2025-03-07,Croissant (frozen),pcs,45,4,55,236.1644,13.2293,3.9099,10.0179,11.3941,1.1611,0.2955,17.8516,3,0.0,4,3,none,0,0,32,SAFE
2025-03-07,Eggs,pcs,21,2,18,218.1628,32.2208,8.3154,29.3509,29.2819,1.1004,0.2581,6.7709,2,0.0,4,3,none,0,0,33,SAFE
2025-03-07,Ginger,kg,14,1,180,3.9688,0.3442,0.0848,0.3314,0.3158,1.09,0.2465,11.5316,9,0.0,4,3,none,0,0,5,WATCH
2025-03-07,Ice,kg,2,1,60,85.0,10.9565,7.7407,10.0147,7.9479,1.3785,0.7065,7.7579,0,0.0,4,3,none,0,0,2,URGENT
2025-03-07,Lime,kg,10,1,140,2.4848,1.8492,0.6066,1.8003,1.6069,1.1508,0.328,1.3437,9,16.0,4,3,none,0,0,19,SAFE
2025-03-07,Masala Mix,kg,180,4,900,4.0,0.0688,0.1088,0.1429,0.1789,0.3846,1.5812,58.1498,0,1.0,4,3,none,0,0,43,SAFE
2025-03-07,Milk,L,4,1,95,428.0,54.1035,37.2565,53.3906,48.358,1.1188,0.6886,7.9108,0,0.0,4,3,none,0,0,4,WATCH
2025-03-07,Momo Wrapper,pcs,5,2,180,4570.8103,1304.2463,622.6086,1224.1983,988.0793,1.32,0.4774,3.5046,2,7600.0,4,3,none,0,0,6,WATCH
2025-03-07,Noodles,kg,120,3,150,63.614,8.5766,1.8105,7.9581,7.8337,1.0948,0.2111,7.4172,1,0.0,4,3,none,0,0,7,WATCH
2025-03-07,Onion,kg,21,2,90,34.4522,8.7828,1.6533,8.5781,8.3793,1.0482,0.1882,3.9227,5,0.0,4,3,none,0,0,3,URGENT
2025-03-07,Potato,kg,30,2,70,107.9494,9.8645,2.365,8.5487,9.0863,1.0856,0.2397,10.9432,5,0.0,4,3,none,0,0,9,SAFE
2025-03-07,Soda Water,L,180,3,70,43.7359,11.6977,3.8447,11.359,10.7741,1.0857,0.3287,3.7388,4,69.0,4,3,none,0,0,9,SAFE
2025-03-07,Sugar,kg,365,3,110,34.6156,5.3115,2.2433,5.8563,5.9387,0.8944,0.4223,6.5171,4,0.0,4,3,none,0,0,112,SAFE
2025-03-07,Tea Leaves,kg,365,3,650,12.8896,1.6465,0.3333,1.636,1.4609,1.127,0.2024,7.8286,1,0.0,4,3,none,0,0,23,SAFE
2025-03-07,Wheat Flour,kg,90,3,85,6.7658,1.3746,0.4808,1.3821,1.4143,0.972,0.3498,4.922,4,0.0,4,3,none,0,0,4,WATCH
2025-03-07,Yoghurt,kg,6,1,160,0.0,6.1898,2.9298,6.8157,6.2906,0.984,0.4733,0.0,6,0.0,4,3,none,0,1,1,URGENT
2025-03-08,Bread Loaf,pcs,3,1,75,0.0,4.9737,3.3758,6.0362,5.8977,0.8433,0.6787,0.0,4,0.0,5,3,none,0,1,1,URGENT
2025-03-08,Buff Mince,kg,3,1,480,0.0,4.7612,3.1365,4.5573,4.4453,1.0711,0.6588,0.0,4,0.0,5,3,none,0,1,1,URGENT
2025-03-08,Burger Bun,pcs,4,1,30,192.258,8.6037,14.2017,13.1002,17.7535,0.4846,1.6507,22.346,1,0.0,5,3,none,0,0,3,URGENT
2025-03-08,Butter,kg,60,3,780,5.1667,0.3308,0.161,0.2937,0.323,1.0243,0.4867,15.6173,2,0.0,5,3,none,0,0,21,SAFE
2025-03-08,Cabbage,kg,8,1,60,46.6519,9.5538,4.3547,9.969,9.6072,0.9944,0.4558,4.883,4,0.0,5,3,none,0,0,16,SAFE
2025-03-08,Cardamom,kg,240,6,3200,0.4078,0.0533,0.0076,0.0555,0.0546,0.9768,0.1429,7.6451,26,0.0,5,3,none,0,0,7,WATCH
2025-03-08,Cheese Slice,pcs,30,3,22,358.0599,53.8069,20.3001,53.8557,53.9518,0.9973,0.3773,6.6545,2,0.0,5,3,none,0,0,6,WATCH
2025-03-08,Chicken Breast,kg,3,1,420,0.0,3.3684,3.9731,3.1921,3.5452,0.9501,1.1795,0.0,4,0.0,5,3,none,0,1,1,URGENT
2025-03-08,Chocolate Cake,pcs,4,2,900,21.0,1.5962,1.0338,1.6734,1.5641,1.0205,0.6477,13.1566,0,0.0,5,3,none,0,0,4,WATCH
2025-03-08,Cocoa Powder,kg,240,5,1200,6.5149,0.6766,0.0935,0.6099,0.6163,1.0978,0.1381,9.6294,6,0.0,5,3,none,0,0,10,SAFE
2025-03-08,Coffee Beans,kg,120,5,1800,70.2249,4.0681,0.7257,2.9218,3.4259,1.1875,0.1784,17.2623,3,0.0,5,3,none,0,0,16,SAFE
2025-03-08,Cooking Oil,L,180,3,210,16.4497,3.9717,1.7451,4.1709,4.2027,0.945,0.4394,4.1418,5,0.0,5,3,none,0,0,3,URGENT
2025-03-08,Croissant (frozen),pcs,45,4,55,218.3951,12.5916,2.996,9.6578,11.2146,1.1228,0.2379,17.3446,4,0.0,5,3,none,0,0,31,SAFE
2025-03-08,Eggs,pcs,21,2,18,176.806,31.644,7.5606,30.0741,29.481,1.0734,0.2389,5.5873,3,0.0,5,3,none,0,0,32,SAFE
2025-03-08,Ginger,kg,14,1,180,3.6063,0.3202,0.0453,0.3288,0.3135,1.0216,0.1415,11.2608,10,0.0,5,3,none,0,0,4,WATCH
2025-03-08,Ice,kg,2,1,60,65.3805,10.4839,7.2107,9.9377,7.8381,1.3376,0.6878,6.2363,1,0.0,5,3,none,0,0,1,URGENT
2025-03-08,Lime,kg,10,1,140,16.0,1.7227,0.4209,1.788,1.5892,1.084,0.2443,9.2879,0,0.0,5,3,none,0,0,18,SAFE
2025-03-08,Masala Mix,kg,180,4,900,3.7571,0.068,0.1076,0.1405,0.1768,0.3847,1.5816,55.2408,1,1.0,5,3,none,0,0,42,SAFE
2025-03-08,Milk,L,4,1,95,348.4339,50.0495,32.4213,53.0255,47.9097,1.0447,0.6478,6.9618,1,0.0,5,3,none,0,0,3,URGENT
2025-03-08,Momo Wrapper,pcs,5,2,180,10144.3633,1301.0051,619.4525,1243.8588,1055.7934,1.2323,0.4761,7.7973,0,0.0,5,3,none,0,0,5,WATCH
2025-03-08,Noodles,kg,120,3,150,53.6055,8.3141,1.5259,7.8419,7.7049,1.0791,0.1835,6.4475,2,0.0,5,3,none,0,0,6,WATCH
